Username,Email,Role,Location
Olaf,Olaf@gmail.com,student,"-268.20,-74.85"
Suzan,Suzan@gmail.com,Parent,"-85.87,-145.88"
Suzan,Suzan@gmail.com,Parent,"-19.73,221.00"
Suzan,Suzan@gmail.com,Parent,"-134.06,254.07"
Suzan,Suzan@gmail.com,Parent,"-498.06,5.08"
Suzan,Suzan@gmail.com,Parent,"-127.06,61.80"
Suzan,Suzan@gmail.com,Parent,"-430.64,-44.11"
Suzan,Suzan@gmail.com,Parent,"217.17,35.00"
Derick,Derick@gmail.com,Parent,"-303.74,-80.46"
Olaf,Olaf@gmail.com,Student,"-296.89,219.23"
Olaf,Olaf@gmail.com,Student,"400.75,-405.63"
Dr. Tan,drtan@gmail.com,Educator,"99.93,-254.67"
Derick,Derick@gmail.com,Parent,"293.12,-180.26"
Dr. Snape,drsnape@gmail.com,Educator,"462.48,-72.29"
Olaf,Olaf@gmail.com,Student,"129.64,-110.73"
jason,jason@gmail.com,Student,"-458.75,307.61"
Olaf,Olaf@gmail.com,Student,"275.78,-331.93"
ChengYe,ChengYe@gmail.com,Student,"-24.40,-78.79"
Olaf,Olaf@gmail.com,Student,"-71.43,155.82"
chowvalen,chowvalen@gmail.com,student,"-304.54,-214.60"
chowvalen,chowvalen@gmail.com,Student,"490.14,390.39"
Olaf,Olaf@gmail.com,Student,"-295.45,266.70"
Cath,Cath@gmail.com,Parent,"-479.51,-138.12"
Olaf,Olaf@gmail.com,Student,"-200.96,305.89"
